entidad,municipio,seccion,section_id,pan_2018_votos,total_2018,pct_pan_2018,source_rows_2018
11,020,1261,110201261,1041,1902,54.73186119873817,6
11,020,1262,110201262,312,568,54.929577464788736,2
11,020,1263,110201263,320,556,57.55395683453237,2
11,020,1264,110201264,366,587,62.35093696763203,2
11,020,1265,110201265,663,1428,46.42857142857143,5
11,020,1266,110201266,565,1088,51.93014705882353,4
11,020,1267,110201267,1191,2202,54.08719346049047,6
11,020,1269,110201269,1334,2564,52.02808112324493,7
11,020,1270,110201270,393,763,51.50720838794234,3
11,020,1271,110201271,338,735,45.98639455782313,2
11,020,1272,110201272,452,871,51.894374282433986,3
11,020,1273,110201273,368,725,50.758620689655174,3
11,020,1274,110201274,921,1631,56.468424279583076,4
11,020,1275,110201275,415,818,50.733496332518335,3
11,020,1276,110201276,1065,2254,47.24933451641527,8
11,020,1277,110201277,1047,2097,49.92846924177397,6
11,020,1279,110201279,1210,2101,57.59162303664922,5
11,020,1280,110201280,289,683,42.313323572474374,2
11,020,1281,110201281,904,1384,65.3179190751445,3
11,020,1283,110201283,1621,2775,58.414414414414416,6
11,020,1286,110201286,728,1319,55.193328278999246,3
11,020,1287,110201287,781,1481,52.73463875759622,3
11,020,1288,110201288,493,850,57.99999999999999,2
11,020,1289,110201289,447,916,48.799126637554586,3
11,020,1290,110201290,238,340,70.0,1
11,020,1291,110201291,204,347,58.789625360230545,1
11,020,1292,110201292,642,1161,55.297157622739014,3
11,020,1293,110201293,351,701,50.07132667617689,2
11,020,1294,110201294,292,621,47.02093397745571,2
11,020,1295,110201295,324,708,45.76271186440678,2
11,020,1296,110201296,249,465,53.5483870967742,2
11,020,1297,110201297,1214,2516,48.251192368839426,8
11,020,1298,110201298,858,1817,47.220693450742985,5
11,020,1299,110201299,236,505,46.73267326732674,2
11,020,1300,110201300,548,1017,53.88397246804326,3
11,020,1301,110201301,439,863,50.869061413673236,2
11,020,1302,110201302,266,499,53.3066132264529,2
11,020,1303,110201303,321,673,47.69687964338782,2
11,020,1304,110201304,2477,4359,56.82495985317734,9
11,020,1305,110201305,218,460,47.391304347826086,2
11,020,1306,110201306,410,764,53.66492146596858,2
11,020,1307,110201307,337,711,47.39803094233474,2
11,020,1308,110201308,877,2345,37.39872068230277,6
11,020,1309,110201309,665,1529,43.49247874427731,5
11,020,1310,110201310,664,1358,48.89543446244477,4
11,020,1311,110201311,214,493,43.40770791075051,1
11,020,1312,110201312,325,867,37.48558246828143,3
11,020,1313,110201313,444,691,64.25470332850941,2
11,020,1314,110201314,594,987,60.182370820668694,2
11,020,1315,110201315,319,565,56.46017699115045,2
11,020,1316,110201316,385,712,54.07303370786517,2
11,020,1317,110201317,356,668,53.293413173652695,2
11,020,1318,110201318,225,509,44.20432220039292,2
11,020,1319,110201319,303,630,48.095238095238095,2
11,020,1320,110201320,411,847,48.52420306965762,3
11,020,1321,110201321,248,557,44.52423698384201,2
11,020,1322,110201322,1209,2850,42.421052631578945,8
11,020,1323,110201323,584,1246,46.869983948635635,4
11,020,1324,110201324,279,727,38.376891334250345,2
11,020,1325,110201325,267,564,47.340425531914896,2
11,020,1326,110201326,283,555,50.990990990990994,2
11,020,1327,110201327,231,400,57.75,1
11,020,1328,110201328,387,655,59.083969465648856,2
11,020,1329,110201329,381,600,63.5,2
11,020,1330,110201330,458,787,58.19567979669632,2
11,020,1331,110201331,393,820,47.92682926829268,2
11,020,1332,110201332,351,695,50.50359712230216,2
11,020,1333,110201333,390,835,46.706586826347305,3
11,020,1334,110201334,352,769,45.77373211963589,3
11,020,1335,110201335,381,795,47.924528301886795,3
11,020,1336,110201336,294,574,51.21951219512195,2
11,020,1337,110201337,1232,2124,58.00376647834275,5
11,020,1338,110201338,252,473,53.276955602537,2
11,020,1339,110201339,364,622,58.520900321543415,2
11,020,1340,110201340,444,734,60.49046321525886,2
11,020,1341,110201341,422,751,56.19174434087883,2
11,020,1342,110201342,447,750,59.599999999999994,2
11,020,1343,110201343,770,1399,55.03931379556827,3
11,020,1344,110201344,333,683,48.75549048316252,2
11,020,1345,110201345,271,519,52.215799614643544,2
11,020,1346,110201346,244,566,43.109540636042404,2
11,020,1347,110201347,295,643,45.878693623639194,2
11,020,1348,110201348,267,675,39.55555555555556,2
11,020,1349,110201349,1467,2825,51.92920353982301,6
11,020,1350,110201350,350,649,53.929121725731896,2
11,020,1351,110201351,430,832,51.682692307692314,2
11,020,1352,110201352,398,771,51.621271076524,2
11,020,1353,110201353,376,646,58.204334365325074,2
11,020,1354,110201354,386,681,56.6813509544787,2
11,020,1355,110201355,377,666,56.606606606606604,2
11,020,1356,110201356,439,793,55.359394703656996,2
11,020,1357,110201357,331,570,58.07017543859649,2
11,020,1358,110201358,309,552,55.97826086956522,2
11,020,1359,110201359,273,500,54.6,2
11,020,1360,110201360,324,609,53.20197044334976,2
11,020,1361,110201361,392,689,56.89404934687954,2
11,020,1362,110201362,337,689,48.91146589259797,2
11,020,1363,110201363,472,805,58.63354037267081,2
11,020,1364,110201364,382,875,43.65714285714286,3
11,020,1365,110201365,1861,3574,52.07050923335199,8
11,020,1366,110201366,298,565,52.743362831858406,2
11,020,1367,110201367,608,1170,51.96581196581197,3
11,020,1368,110201368,233,499,46.6933867735471,2
11,020,1369,110201369,375,795,47.16981132075472,3
11,020,1370,110201370,484,914,52.95404814004377,3
11,020,1371,110201371,229,461,49.67462039045553,2
11,020,1372,110201372,372,723,51.45228215767634,2
11,020,1373,110201373,222,406,54.679802955665025,2
11,020,1374,110201374,273,545,50.091743119266056,2
11,020,1375,110201375,191,364,52.472527472527474,1
11,020,1376,110201376,159,333,47.74774774774775,1
11,020,1377,110201377,187,404,46.28712871287129,1
11,020,1378,110201378,186,392,47.44897959183674,1
11,020,1379,110201379,248,457,54.26695842450766,2
11,020,1380,110201380,128,221,57.9185520361991,1
11,020,1381,110201381,112,277,40.43321299638989,1
11,020,1382,110201382,241,503,47.912524850894634,2
11,020,1383,110201383,221,370,59.72972972972973,1
11,020,1384,110201384,232,429,54.07925407925408,1
11,020,1385,110201385,466,856,54.4392523364486,2
11,020,1386,110201386,252,509,49.50884086444008,2
11,020,1387,110201387,430,820,52.4390243902439,3
