section_id,in_ine_geometry,in_edmslm,in_2018,in_2021,join_status,issue_type
110201261,True,True,True,True,complete,none
110201262,True,True,True,True,complete,none
110201263,True,True,True,True,complete,none
110201264,True,True,True,True,complete,none
110201265,True,True,True,True,complete,none
110201266,True,True,True,True,complete,none
110201267,True,True,True,True,complete,none
110201269,True,True,True,True,complete,none
110201270,True,True,True,True,complete,none
110201271,True,True,True,True,complete,none
110201272,True,True,True,True,complete,none
110201273,True,True,True,True,complete,none
110201274,True,True,True,True,complete,none
110201275,True,True,True,True,complete,none
110201276,True,True,True,True,complete,none
110201277,True,True,True,True,complete,none
110201279,True,True,True,True,complete,none
110201280,True,True,True,True,complete,none
110201281,True,True,True,True,complete,none
110201283,True,True,True,True,complete,none
110201286,True,True,True,True,complete,none
110201287,True,True,True,True,complete,none
110201288,True,True,True,True,complete,none
110201289,True,True,True,True,complete,none
110201290,True,True,True,True,complete,none
110201291,True,True,True,True,complete,none
110201292,True,True,True,True,complete,none
110201293,True,True,True,True,complete,none
110201294,True,True,True,True,complete,none
110201295,True,True,True,True,complete,none
110201296,True,True,True,True,complete,none
110201297,True,True,True,True,complete,none
110201298,True,True,True,True,complete,none
110201299,True,True,True,True,complete,none
110201300,True,True,True,True,complete,none
110201301,True,True,True,True,complete,none
110201302,True,True,True,True,complete,none
110201303,True,True,True,True,complete,none
110201304,True,True,True,True,complete,none
110201305,True,True,True,True,complete,none
110201306,True,True,True,True,complete,none
110201307,True,True,True,True,complete,none
110201308,True,True,True,True,complete,none
110201309,True,True,True,True,complete,none
110201310,True,True,True,True,complete,none
110201311,True,True,True,True,complete,none
110201312,True,True,True,True,complete,none
110201313,True,True,True,True,complete,none
110201314,True,True,True,True,complete,none
110201315,True,True,True,True,complete,none
110201316,True,True,True,True,complete,none
110201317,True,True,True,True,complete,none
110201318,True,True,True,True,complete,none
110201319,True,True,True,True,complete,none
110201320,True,True,True,True,complete,none
110201321,True,True,True,True,complete,none
110201322,True,True,True,True,complete,none
110201323,True,True,True,True,complete,none
110201324,True,True,True,True,complete,none
110201325,True,True,True,True,complete,none
110201326,True,True,True,True,complete,none
110201327,True,True,True,True,complete,none
110201328,True,True,True,True,complete,none
110201329,True,True,True,True,complete,none
110201330,True,True,True,True,complete,none
110201331,True,True,True,True,complete,none
110201332,True,True,True,True,complete,none
110201333,True,True,True,True,complete,none
110201334,True,True,True,True,complete,none
110201335,True,True,True,True,complete,none
110201336,True,True,True,True,complete,none
110201337,True,True,True,True,complete,none
110201338,True,True,True,True,complete,none
110201339,True,True,True,True,complete,none
110201340,True,True,True,True,complete,none
110201341,True,True,True,True,complete,none
110201342,True,True,True,True,complete,none
110201343,True,True,True,True,complete,none
110201344,True,True,True,True,complete,none
110201345,True,True,True,True,complete,none
110201346,True,True,True,True,complete,none
110201347,True,True,True,True,complete,none
110201348,True,True,True,True,complete,none
110201349,True,True,True,True,complete,none
110201350,True,True,True,True,complete,none
110201351,True,True,True,True,complete,none
110201352,True,True,True,True,complete,none
110201353,True,True,True,True,complete,none
110201354,True,True,True,True,complete,none
110201355,True,True,True,True,complete,none
110201356,True,True,True,True,complete,none
110201357,True,True,True,True,complete,none
110201358,True,True,True,True,complete,none
110201359,True,True,True,True,complete,none
110201360,True,True,True,True,complete,none
110201361,True,True,True,True,complete,none
110201362,True,True,True,True,complete,none
110201363,True,True,True,True,complete,none
110201364,True,True,True,True,complete,none
110201365,True,True,True,True,complete,none
110201366,True,True,True,True,complete,none
110201367,True,True,True,True,complete,none
110201368,True,True,True,True,complete,none
110201369,True,True,True,True,complete,none
110201370,True,True,True,True,complete,none
110201371,True,True,True,True,complete,none
110201372,True,True,True,True,complete,none
110201373,True,True,True,True,complete,none
110201374,True,True,True,True,complete,none
110201375,True,True,True,True,complete,none
110201376,True,True,True,True,complete,none
110201377,True,True,True,True,complete,none
110201378,True,True,True,True,complete,none
110201379,True,True,True,True,complete,none
110201380,True,True,True,True,complete,none
110201381,True,True,True,True,complete,none
110201382,True,True,True,True,complete,none
110201383,True,True,True,True,complete,none
110201384,True,True,True,True,complete,none
110201385,True,True,True,True,complete,none
110201386,True,True,True,True,complete,none
110201387,True,True,True,True,complete,none
110201388,True,True,True,True,complete,none
110201389,True,True,True,True,complete,none
110201390,True,True,True,True,complete,none
110201391,True,True,True,True,complete,none
110201393,True,True,True,True,complete,none
110201394,True,True,True,True,complete,none
110201395,True,True,True,True,complete,none
110201396,True,True,True,True,complete,none
110201397,True,True,True,True,complete,none
110201398,True,True,True,True,complete,none
110201399,True,True,True,True,complete,none
110201400,True,True,True,True,complete,none
110201401,True,True,True,True,complete,none
110201402,True,True,True,True,complete,none
110201403,True,True,True,True,complete,none
110201404,True,True,True,True,complete,none
110201405,True,True,True,True,complete,none
110201406,True,True,True,True,complete,none
110201407,True,True,True,True,complete,none
110201408,True,True,True,True,complete,none
110201409,True,True,True,True,complete,none
110201410,True,True,True,True,complete,none
110201411,True,True,True,True,complete,none
110201412,True,True,True,True,complete,none
110201413,True,True,True,True,complete,none
110201414,True,True,True,True,complete,none
110201415,True,True,True,True,complete,none
110201416,True,True,True,True,complete,none
110201417,True,True,True,True,complete,none
110201418,True,True,True,True,complete,none
110201419,True,True,True,True,complete,none
110201420,True,True,True,True,complete,none
110201421,True,True,True,True,complete,none
110201422,True,True,True,True,complete,none
110201423,True,True,True,True,complete,none
110201424,True,True,True,True,complete,none
110201425,True,True,True,True,complete,none
110201426,True,True,True,True,complete,none
110201427,True,True,True,True,complete,none
110201428,True,True,True,True,complete,none
110201429,True,True,True,True,complete,none
110201430,True,True,True,True,complete,none
110201431,True,True,True,True,complete,none
110201432,True,True,True,True,complete,none
110201433,True,True,True,True,complete,none
110201434,True,True,True,True,complete,none
110201435,True,True,True,True,complete,none
110201436,True,True,True,True,complete,none
110201437,True,True,True,True,complete,none
110201438,True,True,True,True,complete,none
110201439,True,True,True,True,complete,none
110201440,True,True,True,True,complete,none
110201441,True,True,True,True,complete,none
110201442,True,True,True,True,complete,none
110201443,True,True,True,True,complete,none
110201444,True,True,True,True,complete,none
110201445,True,True,True,True,complete,none
110201446,True,True,True,True,complete,none
110201447,True,True,True,True,complete,none
110201448,True,True,True,True,complete,none
110201449,True,True,True,True,complete,none
110201450,True,True,True,True,complete,none
110201451,True,True,True,True,complete,none
110201452,True,True,True,True,complete,none
110201453,True,True,True,True,complete,none
110201454,True,True,True,True,complete,none
110201455,True,True,True,True,complete,none
110201456,True,True,True,True,complete,none
110201457,True,True,True,True,complete,none
110201458,True,True,True,True,complete,none
110201459,True,True,True,True,complete,none
110201460,True,True,True,True,complete,none
110201461,True,True,True,True,complete,none
110201462,True,True,True,True,complete,none
110201463,True,True,True,True,complete,none
110201464,True,True,True,True,complete,none
110201465,True,True,True,True,complete,none
110201466,True,True,True,True,complete,none
110201467,True,True,True,True,complete,none
110201468,True,True,True,True,complete,none
110201469,True,True,True,True,complete,none
110201470,True,True,True,True,complete,none
110201471,True,True,True,True,complete,none
110201472,True,True,True,True,complete,none
110201473,True,True,True,True,complete,none
110201474,True,True,True,True,complete,none
110201475,True,True,True,True,complete,none
110201476,True,True,True,True,complete,none
110201478,True,True,True,True,complete,none
110201479,True,True,True,True,complete,none
110201480,True,True,True,True,complete,none
110201481,True,True,True,True,complete,none
110201482,True,True,True,True,complete,none
110201483,True,True,True,True,complete,none
110201485,True,True,True,True,complete,none
110201486,True,True,True,True,complete,none
110201487,True,True,True,True,complete,none
110201488,True,True,True,True,complete,none
110201489,True,True,True,True,complete,none
110201491,True,True,True,True,complete,none
110201492,True,True,True,True,complete,none
110201497,True,True,True,True,complete,none
110201498,True,True,True,True,complete,none
110201499,True,True,True,True,complete,none
110201501,True,True,True,True,complete,none
110201502,True,True,True,True,complete,none
110201503,True,True,True,True,complete,none
110201504,True,True,True,True,complete,none
110201505,True,True,True,True,complete,none
110201506,True,True,True,True,complete,none
110201507,True,True,True,True,complete,none
110201511,True,True,True,True,complete,none
110201512,True,True,True,True,complete,none
110201513,True,True,True,True,complete,none
110201514,True,True,True,True,complete,none
110201515,True,True,True,True,complete,none
110201516,True,True,True,True,complete,none
110201517,True,True,True,True,complete,none
110201518,True,True,True,True,complete,none
110201519,True,True,True,True,complete,none
110201520,True,True,True,True,complete,none
110201521,True,True,True,True,complete,none
110201522,True,True,True,True,complete,none
110201523,True,True,True,True,complete,none
110201524,True,True,True,True,complete,none
110201525,True,True,True,True,complete,none
110201526,True,True,True,True,complete,none
110201527,True,True,True,True,complete,none
110201528,True,True,True,True,complete,none
110201529,True,True,True,True,complete,none
110201530,True,True,True,True,complete,none
110201531,True,True,True,True,complete,none
110201532,True,True,True,True,complete,none
110201533,True,True,True,True,complete,none
110201534,True,True,True,True,complete,none
110201535,True,True,True,True,complete,none
110201536,True,True,True,True,complete,none
110201537,True,True,True,True,complete,none
110201538,True,True,True,True,complete,none
110201539,True,True,True,True,complete,none
110201540,True,True,True,True,complete,none
110201541,True,True,True,True,complete,none
110201542,True,True,True,True,complete,none
110201543,True,True,True,True,complete,none
110201544,True,True,True,True,complete,none
110201545,True,True,True,True,complete,none
110201546,True,True,True,True,complete,none
110201547,True,True,True,True,complete,none
110201548,True,True,True,True,complete,none
110201549,True,True,True,True,complete,none
110201550,True,True,True,True,complete,none
110201551,True,True,True,True,complete,none
110201552,True,True,True,True,complete,none
110201553,True,True,True,True,complete,none
110201554,True,True,True,True,complete,none
110201555,True,True,True,True,complete,none
110201556,True,True,True,True,complete,none
110201557,True,True,True,True,complete,none
110201558,True,True,True,True,complete,none
110201559,True,True,True,True,complete,none
110201560,True,True,True,True,complete,none
110201561,True,True,True,True,complete,none
110201562,True,True,True,True,complete,none
110201563,True,True,True,True,complete,none
110201564,True,True,True,True,complete,none
110201565,True,True,True,True,complete,none
110201566,True,True,True,True,complete,none
110201567,True,True,True,True,complete,none
110201568,True,True,True,True,complete,none
110201569,True,True,True,True,complete,none
110201570,True,True,True,True,complete,none
110201571,True,True,True,True,complete,none
110201572,True,True,True,True,complete,none
110201573,True,True,True,True,complete,none
110201574,True,True,True,True,complete,none
110201575,True,True,True,True,complete,none
110201576,True,True,True,True,complete,none
110201577,True,True,True,True,complete,none
110201578,True,True,True,True,complete,none
110201579,True,True,True,True,complete,none
110201580,True,True,True,True,complete,none
110201581,True,True,True,True,complete,none
110201582,True,True,True,True,complete,none
110201583,True,True,True,True,complete,none
