entidad,municipio,seccion,section_id,municipio_nombre,distrito_local,distrito_federal,pan_2018_votos,pan_2021_votos,total_2018,total_2021,pct_pan_2018,pct_pan_2021,delta_pan_pp,has_data,issue_type,vote_share_bin,delta_bin,bivariate_class,source_rows_2018,source_rows_2021
11,020,1261,110201261,LEON,3,,1041,873,1902,1600,54.73186119873817,54.5625,-0.1693611987381729,True,none,mid,stable,stable_mid,6,7
11,020,1262,110201262,LEON,3,,312,243,568,397,54.929577464788736,61.20906801007556,6.279490545286826,True,none,high,stable,stable_high,2,2
11,020,1263,110201263,LEON,3,,320,309,556,478,57.55395683453237,64.64435146443515,7.090394629902775,True,none,high,stable,stable_high,2,2
11,020,1264,110201264,LEON,3,,366,322,587,479,62.35093696763203,67.22338204592901,4.872445078296984,True,none,high,stable,stable_high,2,2
11,020,1265,110201265,LEON,3,,663,708,1428,1330,46.42857142857143,53.23308270676692,6.804511278195491,True,none,mid,stable,stable_mid,5,6
11,020,1266,110201266,LEON,3,,565,452,1088,997,51.93014705882353,45.33600802407221,-6.594139034751322,True,none,mid,stable,stable_mid,4,4
11,020,1267,110201267,LEON,3,,1191,1117,2202,1967,54.08719346049047,56.78698525673615,2.699791796245684,True,none,mid,stable,stable_mid,6,7
11,020,1269,110201269,LEON,3,,1334,1425,2564,2316,52.02808112324493,61.52849740932642,9.500416286081489,True,none,high,stable,stable_high,7,8
11,020,1270,110201270,LEON,3,,393,283,763,681,51.50720838794234,41.55653450807636,-9.950673879865981,True,none,mid,stable,stable_mid,3,3
11,020,1271,110201271,LEON,3,,338,283,735,649,45.98639455782313,43.6055469953775,-2.3808475624456307,True,none,mid,stable,stable_mid,2,2
11,020,1272,110201272,LEON,3,,452,344,871,714,51.89437428243399,48.17927170868347,-3.7151025737505208,True,none,mid,stable,stable_mid,3,3
11,020,1273,110201273,LEON,3,,368,245,725,569,50.75862068965517,43.05799648506151,-7.700624204593659,True,none,mid,stable,stable_mid,3,3
11,020,1274,110201274,LEON,3,,921,1112,1631,1647,56.46842427958308,67.51669702489374,11.048272745310662,True,none,high,growth,growth_high,4,4
11,020,1275,110201275,LEON,3,,415,361,818,641,50.733496332518335,56.31825273010921,5.584756397590873,True,none,mid,stable,stable_mid,3,3
11,020,1276,110201276,LEON,3,,1065,992,2254,1918,47.24933451641527,51.72054223149114,4.47120771507587,True,none,mid,stable,stable_mid,8,9
11,020,1277,110201277,LEON,3,,1047,980,2097,1753,49.92846924177397,55.90416428978894,5.97569504801497,True,none,mid,stable,stable_mid,6,6
11,020,1279,110201279,LEON,3,,1210,1203,2101,1916,57.59162303664922,62.78705636743215,5.195433330782933,True,none,high,stable,stable_high,5,5
11,020,1280,110201280,LEON,3,,289,276,683,548,42.31332357247437,50.36496350364964,8.051639931175274,True,none,mid,stable,stable_mid,2,2
11,020,1281,110201281,LEON,3,,904,990,1384,1320,65.3179190751445,75.0,9.682080924855498,True,none,high,stable,stable_high,3,3
11,020,1283,110201283,LEON,3,,1621,1953,2775,2723,58.414414414414416,71.72236503856041,13.307950624145995,True,none,high,growth,growth_high,6,6
11,020,1286,110201286,LEON,3,,728,733,1319,1150,55.193328278999246,63.73913043478261,8.545802155783363,True,none,high,stable,stable_high,3,3
11,020,1287,110201287,LEON,3,,781,880,1481,1408,52.73463875759622,62.5,9.765361242403777,True,none,high,stable,stable_high,3,4
11,020,1288,110201288,LEON,3,,493,473,850,749,57.99999999999999,63.15086782376503,5.15086782376504,True,none,high,stable,stable_high,2,2
11,020,1289,110201289,LEON,3,,447,383,916,748,48.799126637554586,51.20320855614974,2.4040819185951534,True,none,mid,stable,stable_mid,3,3
11,020,1290,110201290,LEON,3,,238,234,340,306,70.0,76.47058823529412,6.470588235294116,True,none,high,stable,stable_high,1,1
11,020,1291,110201291,LEON,3,,204,232,347,309,58.78962536023055,75.08090614886731,16.29128078863676,True,none,high,growth,growth_high,1,1
11,020,1292,110201292,LEON,3,,642,682,1161,1007,55.29715762273901,67.72591857000994,12.42876094727093,True,none,high,growth,growth_high,3,3
11,020,1293,110201293,LEON,3,,351,329,701,585,50.07132667617689,56.23931623931624,6.167989563139351,True,none,mid,stable,stable_mid,2,2
11,020,1294,110201294,LEON,3,,292,263,621,530,47.02093397745571,49.62264150943396,2.601707531978249,True,none,mid,stable,stable_mid,2,2
11,020,1295,110201295,LEON,3,,324,337,708,646,45.76271186440678,52.1671826625387,6.404470798131918,True,none,mid,stable,stable_mid,2,2
11,020,1296,110201296,LEON,3,,249,274,465,447,53.5483870967742,61.29753914988815,7.749152053113953,True,none,high,stable,stable_high,2,2
11,020,1297,110201297,LEON,6,,1214,1090,2516,2156,48.25119236883943,50.55658627087198,2.3053939020325487,True,none,mid,stable,stable_mid,8,9
11,020,1298,110201298,LEON,6,,858,859,1817,1517,47.220693450742985,56.62491760052736,9.404224149784376,True,none,mid,stable,stable_mid,5,5
11,020,1299,110201299,LEON,3,,236,243,505,445,46.73267326732674,54.60674157303372,7.8740683057069845,True,none,mid,stable,stable_mid,2,2
11,020,1300,110201300,LEON,3,,548,572,1017,923,53.88397246804326,61.97183098591549,8.087858517872228,True,none,high,stable,stable_high,3,3
11,020,1301,110201301,LEON,3,,439,447,863,729,50.86906141367324,61.31687242798354,10.447811014310297,True,none,high,growth,growth_high,2,2
11,020,1302,110201302,LEON,3,,266,211,499,403,53.3066132264529,52.35732009925557,-0.9492931271973362,True,none,mid,stable,stable_mid,2,2
11,020,1303,110201303,LEON,3,,321,273,673,556,47.69687964338782,49.10071942446043,1.4038397810726124,True,none,mid,stable,stable_mid,2,2
11,020,1304,110201304,LEON,3,,2477,2967,4359,4234,56.82495985317734,70.07557864903164,13.250618795854301,True,none,high,growth,growth_high,9,10
11,020,1305,110201305,LEON,3,,218,212,460,431,47.391304347826086,49.187935034802784,1.7966306869766981,True,none,mid,stable,stable_mid,2,2
11,020,1306,110201306,LEON,3,,410,319,764,604,53.66492146596858,52.81456953642384,-0.8503519295447433,True,none,mid,stable,stable_mid,2,2
11,020,1307,110201307,LEON,3,,337,334,711,608,47.39803094233474,54.93421052631579,7.5361795839810455,True,none,mid,stable,stable_mid,2,2
11,020,1308,110201308,LEON,6,,877,804,2345,1601,37.39872068230277,50.21861336664585,12.819892684343074,True,none,mid,growth,growth_mid,6,6
11,020,1309,110201309,LEON,6,,665,536,1529,1201,43.49247874427731,44.62947543713572,1.1369966928584105,True,none,mid,stable,stable_mid,5,5
11,020,1310,110201310,LEON,3,,664,595,1358,1067,48.89543446244477,55.76382380506092,6.868389342616155,True,none,mid,stable,stable_mid,4,4
11,020,1311,110201311,LEON,3,,214,267,493,445,43.40770791075051,60.0,16.59229208924949,True,none,high,growth,growth_high,1,1
11,020,1312,110201312,LEON,3,,325,424,867,825,37.48558246828143,51.39393939393939,13.908356925657962,True,none,mid,growth,growth_mid,3,3
11,020,1313,110201313,LEON,3,,444,496,691,603,64.25470332850941,82.25538971807629,18.00068638956688,True,none,high,growth,growth_high,2,2
11,020,1314,110201314,LEON,3,,594,659,987,888,60.18237082066869,74.21171171171171,14.029340891043027,True,none,high,growth,growth_high,2,2
11,020,1315,110201315,LEON,3,,319,298,565,495,56.46017699115045,60.2020202020202,3.741843210869753,True,none,high,stable,stable_high,2,2
11,020,1316,110201316,LEON,3,,385,366,712,605,54.07303370786517,60.49586776859505,6.422834060729876,True,none,high,stable,stable_high,2,2
11,020,1317,110201317,LEON,3,,356,309,668,559,53.293413173652695,55.27728085867621,1.9838676850235117,True,none,mid,stable,stable_mid,2,2
11,020,1318,110201318,LEON,3,,225,224,509,447,44.20432220039292,50.11185682326622,5.9075346228733,True,none,mid,stable,stable_mid,2,2
11,020,1319,110201319,LEON,3,,303,244,630,508,48.095238095238095,48.031496062992126,-0.06374203224596897,True,none,mid,stable,stable_mid,2,2
11,020,1320,110201320,LEON,3,,411,497,847,887,48.52420306965762,56.0315670800451,7.507364010387484,True,none,mid,stable,stable_mid,3,4
11,020,1321,110201321,LEON,3,,248,234,557,476,44.52423698384201,49.15966386554621,4.635426881704198,True,none,mid,stable,stable_mid,2,2
11,020,1322,110201322,LEON,6,,1209,951,2850,1858,42.42105263157895,51.184068891280944,8.763016259701992,True,none,mid,stable,stable_mid,8,8
11,020,1323,110201323,LEON,6,,584,499,1246,1015,46.86998394863564,49.16256157635468,2.292577627719041,True,none,mid,stable,stable_mid,4,4
11,020,1324,110201324,LEON,6,,279,274,727,575,38.376891334250345,47.65217391304348,9.275282578793131,True,none,mid,stable,stable_mid,2,2
11,020,1325,110201325,LEON,3,,267,223,564,450,47.340425531914896,49.55555555555556,2.2151300236406612,True,none,mid,stable,stable_mid,2,2
11,020,1326,110201326,LEON,3,,283,238,555,470,50.990990990990994,50.63829787234042,-0.35269311865057773,True,none,mid,stable,stable_mid,2,2
11,020,1327,110201327,LEON,3,,231,239,400,382,57.75,62.56544502617801,4.815445026178011,True,none,high,stable,stable_high,1,1
11,020,1328,110201328,LEON,3,,387,351,655,569,59.083969465648856,61.6871704745167,2.603201008867842,True,none,high,stable,stable_high,2,2
11,020,1329,110201329,LEON,3,,381,382,600,531,63.5,71.939736346516,8.439736346516,True,none,high,stable,stable_high,2,2
11,020,1330,110201330,LEON,3,,458,399,787,683,58.19567979669632,58.41874084919473,0.22306105249840869,True,none,mid,stable,stable_mid,2,2
11,020,1331,110201331,LEON,3,,393,431,820,718,47.92682926829268,60.02785515320335,12.101025884910669,True,none,high,growth,growth_high,2,2
11,020,1332,110201332,LEON,3,,351,328,695,594,50.50359712230216,55.218855218855225,4.715258096553065,True,none,mid,stable,stable_mid,2,2
11,020,1333,110201333,LEON,6,,390,355,835,704,46.706586826347305,50.42613636363637,3.719549537289062,True,none,mid,stable,stable_mid,3,3
11,020,1334,110201334,LEON,6,,352,346,769,672,45.77373211963589,51.488095238095234,5.714363118459346,True,none,mid,stable,stable_mid,3,3
11,020,1335,110201335,LEON,6,,381,303,795,646,47.9245283018868,46.90402476780186,-1.0205035340849449,True,none,mid,stable,stable_mid,3,3
11,020,1336,110201336,LEON,6,,294,216,574,450,51.21951219512195,48.0,-3.2195121951219505,True,none,mid,stable,stable_mid,2,2
11,020,1337,110201337,LEON,3,,1232,1250,2124,1841,58.00376647834275,67.89788158609451,9.894115107751766,True,none,high,stable,stable_high,5,5
11,020,1338,110201338,LEON,3,,252,235,473,412,53.276955602537,57.03883495145631,3.761879348919308,True,none,mid,stable,stable_mid,2,2
11,020,1339,110201339,LEON,3,,364,269,622,502,58.520900321543415,53.58565737051792,-4.935242951025494,True,none,mid,stable,stable_mid,2,2
11,020,1340,110201340,LEON,3,,444,312,734,581,60.49046321525886,53.700516351118765,-6.789946864140099,True,none,mid,stable,stable_mid,2,2
11,020,1341,110201341,LEON,3,,422,367,751,626,56.19174434087883,58.626198083067095,2.4344537421882677,True,none,mid,stable,stable_mid,2,2
11,020,1342,110201342,LEON,3,,447,605,750,952,59.6,63.55042016806722,3.950420168067218,True,none,high,stable,stable_high,2,3
11,020,1343,110201343,LEON,6,,770,1018,1399,1522,55.03931379556827,66.8856767411301,11.846362945561829,True,none,high,growth,growth_high,3,4
11,020,1344,110201344,LEON,6,,333,318,683,593,48.75549048316252,53.62563237774031,4.870141894577792,True,none,mid,stable,stable_mid,2,2
11,020,1345,110201345,LEON,6,,271,247,519,425,52.21579961464354,58.11764705882353,5.901847444179992,True,none,mid,stable,stable_mid,2,2
11,020,1346,110201346,LEON,6,,244,227,566,484,43.1095406360424,46.90082644628099,3.791285810238591,True,none,mid,stable,stable_mid,2,2
11,020,1347,110201347,LEON,6,,295,252,643,541,45.8786936236392,46.58040665434381,0.7017130307046102,True,none,mid,stable,stable_mid,2,2
11,020,1348,110201348,LEON,6,,267,249,675,593,39.55555555555556,41.989881956155145,2.4343264005995877,True,none,mid,stable,stable_mid,2,2
11,020,1349,110201349,LEON,6,,1467,1505,2825,2375,51.92920353982301,63.368421052631575,11.439217512808568,True,none,high,growth,growth_high,6,6
11,020,1350,110201350,LEON,3,,350,304,649,580,53.929121725731896,52.41379310344828,-1.5153286222836186,True,none,mid,stable,stable_mid,2,2
11,020,1351,110201351,LEON,3,,430,379,832,665,51.68269230769232,56.99248120300752,5.309788895315201,True,none,mid,stable,stable_mid,2,2
11,020,1352,110201352,LEON,3,,398,419,771,719,51.621271076524,58.27538247566064,6.654111399136639,True,none,mid,stable,stable_mid,2,2
11,020,1353,110201353,LEON,3,,376,325,646,571,58.204334365325074,56.91768826619965,-1.2866460991254272,True,none,mid,stable,stable_mid,2,2
11,020,1354,110201354,LEON,3,,386,331,681,548,56.6813509544787,60.4014598540146,3.7201088995358944,True,none,high,stable,stable_high,2,2
11,020,1355,110201355,LEON,3,,377,330,666,536,56.60660660660661,61.56716417910447,4.960557572497862,True,none,high,stable,stable_high,2,2
11,020,1356,110201356,LEON,3,,439,429,793,723,55.359394703657,59.33609958506224,3.97670488140524,True,none,mid,stable,stable_mid,2,2
11,020,1357,110201357,LEON,3,,331,281,570,483,58.07017543859649,58.17805383022774,0.10787839163124602,True,none,mid,stable,stable_mid,2,2
11,020,1358,110201358,LEON,3,,309,259,552,465,55.97826086956522,55.6989247311828,-0.2793361383824191,True,none,mid,stable,stable_mid,2,2
11,020,1359,110201359,LEON,3,,273,233,500,403,54.6,57.81637717121588,3.216377171215882,True,none,mid,stable,stable_mid,2,2
11,020,1360,110201360,LEON,3,,324,278,609,519,53.20197044334976,53.5645472061657,0.36257676281594087,True,none,mid,stable,stable_mid,2,2
11,020,1361,110201361,LEON,3,,392,393,689,625,56.89404934687954,62.88,5.985950653120462,True,none,high,stable,stable_high,2,2
11,020,1362,110201362,LEON,3,,337,329,689,576,48.91146589259797,57.11805555555556,8.20658966295759,True,none,mid,stable,stable_mid,2,2
11,020,1363,110201363,LEON,3,,472,394,805,721,58.63354037267081,54.64632454923717,-3.987215823433637,True,none,mid,stable,stable_mid,2,2
11,020,1364,110201364,LEON,6,,382,289,875,617,43.65714285714286,46.83954619124797,3.1824033341051106,True,none,mid,stable,stable_mid,3,3
11,020,1365,110201365,LEON,6,,1861,2239,3574,3399,52.07050923335199,65.87231538687848,13.801806153526492,True,none,high,growth,growth_high,8,9
11,020,1366,110201366,LEON,6,,298,270,565,462,52.743362831858406,58.44155844155844,5.698195609700036,True,none,mid,stable,stable_mid,2,2
11,020,1367,110201367,LEON,6,,608,586,1170,1008,51.96581196581197,58.13492063492064,6.169108669108667,True,none,mid,stable,stable_mid,3,3
